date ; stroke
2019-01-29 22:22:39,060 ; ;
2019-01-29 22:22:40,893 ; shift_r
2019-01-29 22:22:47,900 ; shift_r
2019-01-29 22:22:48,029 ; m
2019-01-29 22:22:48,204 ; enter
2019-01-29 22:23:22,722 ; enter
2019-01-29 22:23:22,948 ; enter
2019-01-29 22:23:30,838 ; shift_r
2019-01-29 22:23:30,886 ; m
2019-01-29 22:23:31,157 ; i
2019-01-29 22:23:31,541 ; space
2019-01-29 22:23:31,597 ; =
2019-01-29 22:23:31,717 ; space
2019-01-29 22:23:31,909 ; shift_r
2019-01-29 22:23:32,381 ; m
2019-01-29 22:23:32,637 ; shift_r
2019-01-29 22:23:32,909 ; $
2019-01-29 22:23:33,101 ; shift_r
2019-01-29 22:23:33,397 ; i
2019-01-29 22:23:34,734 ; ;
2019-01-29 22:23:35,293 ; enter
2019-01-29 22:23:35,429 ; enter
2019-01-29 22:23:36,285 ; shift_r
2019-01-29 22:23:37,613 ; i
2019-01-29 22:23:37,829 ; m
2019-01-29 22:23:37,934 ; a
2019-01-29 22:23:38,221 ; g
2019-01-29 22:23:38,350 ; e
2019-01-29 22:23:38,742 ; (
2019-01-29 22:23:39,070 ; shift_r
2019-01-29 22:23:39,334 ; m
2019-01-29 22:23:39,806 ; i
2019-01-29 22:23:40,133 ; )
2019-01-29 22:23:53,902 ; left
2019-01-29 22:23:54,622 ; shift_r
2019-01-29 22:23:54,758 ; ;
2019-01-29 22:24:10,509 ; d
2019-01-29 22:24:10,573 ; o
2019-01-29 22:24:10,669 ; u
2019-01-29 22:24:10,797 ; b
2019-01-29 22:24:10,901 ; l
2019-01-29 22:24:10,989 ; e
2019-01-29 22:24:11,637 ; (
2019-01-29 22:24:11,893 ; right
2019-01-29 22:24:12,517 ; )
2019-01-29 22:24:35,865 ; backspace
2019-01-29 22:25:58,591 ; backspace
2019-01-29 22:25:59,429 ; shift_r
2019-01-29 22:25:59,605 ; ;
2019-01-29 22:26:02,573 ; cmd
2019-01-29 22:26:50,241 ; i
2019-01-29 22:26:50,425 ; n
2019-01-29 22:26:50,633 ; shift_r
2019-01-29 22:26:50,753 ; p
2019-01-29 22:26:50,937 ; a
2019-01-29 22:26:51,041 ; i
2019-01-29 22:26:51,193 ; n
2019-01-29 22:26:51,289 ; t
2019-01-29 22:26:51,393 ; i
2019-01-29 22:26:51,521 ; n
2019-01-29 22:26:51,809 ; g
2019-01-29 22:26:54,961 ; backspace
2019-01-29 22:26:55,081 ; backspace
2019-01-29 22:28:38,499 ; cmd
2019-01-29 22:28:45,914 ; shift_r
2019-01-29 22:28:46,179 ; m
2019-01-29 22:28:47,010 ; ,
2019-01-29 22:28:47,170 ; space
2019-01-29 22:28:48,394 ; backspace
2019-01-29 22:28:48,530 ; backspace
2019-01-29 22:28:58,300 ; r
2019-01-29 22:28:58,516 ; h
2019-01-29 22:28:58,620 ; o
2019-01-29 22:28:58,796 ; ,
2019-01-29 22:28:58,948 ; space
2019-01-29 22:28:59,140 ; a
2019-01-29 22:28:59,300 ; backspace
2019-01-29 22:28:59,444 ; backspace
2019-01-29 22:28:59,588 ; backspace
2019-01-29 22:28:59,724 ; backspace
2019-01-29 22:28:59,908 ; backspace
2019-01-29 22:29:00,036 ; backspace
2019-01-29 22:29:00,596 ; ,
2019-01-29 22:29:00,716 ; space
2019-01-29 22:29:01,052 ; r
2019-01-29 22:29:01,180 ; h
2019-01-29 22:29:01,276 ; o
2019-01-29 22:29:01,476 ; ,
2019-01-29 22:29:01,620 ; space
2019-01-29 22:29:01,748 ; a
2019-01-29 22:29:01,876 ; l
2019-01-29 22:29:02,940 ; p
2019-01-29 22:29:03,060 ; h
2019-01-29 22:29:03,236 ; a
2019-01-29 22:29:09,443 ; ,
2019-01-29 22:29:09,523 ; space
2019-01-29 22:29:09,707 ; n
2019-01-29 22:29:10,091 ; shift_r
2019-01-29 22:29:10,547 ; -
2019-01-29 22:29:11,371 ; i
2019-01-29 22:29:11,531 ; t
2019-01-29 22:29:11,611 ; e
2019-01-29 22:29:11,715 ; r
2019-01-29 22:29:20,955 ; backspace
2019-01-29 22:29:24,187 ; backspace
2019-01-29 22:29:34,437 ; i
2019-01-29 22:29:34,685 ; a
2019-01-29 22:29:34,965 ; backspace
2019-01-29 22:29:35,109 ; backspace
2019-01-29 22:29:36,294 ; i
