date ; stroke
2019-02-03 15:56:40,883 ; tab
2019-02-03 15:56:41,615 ; alt_l
2019-02-03 15:56:41,669 ; tab
2019-02-03 15:56:43,864 ; alt_l
2019-02-03 15:56:43,944 ; tab
2019-02-03 15:56:46,433 ; alt_l
2019-02-03 15:56:46,545 ; tab
2019-02-03 15:57:15,602 ; alt_l
2019-02-03 15:57:15,652 ; tab
2019-02-03 15:57:17,460 ; alt_l
2019-02-03 15:57:17,540 ; tab
2019-02-03 15:57:20,924 ; alt_l
2019-02-03 15:57:20,960 ; tab
2019-02-03 15:57:25,010 ; alt_l
2019-02-03 15:57:25,069 ; tab
2019-02-03 15:57:26,314 ; alt_l
2019-02-03 15:57:26,360 ; tab
2019-02-03 15:57:27,378 ; alt_l
2019-02-03 15:57:27,422 ; tab
2019-02-03 15:57:31,550 ; alt_l
2019-02-03 15:57:31,599 ; tab
2019-02-03 15:57:32,420 ; alt_l
2019-02-03 15:57:32,484 ; tab
2019-02-03 15:57:42,724 ; alt_l
2019-02-03 15:57:42,774 ; tab
2019-02-03 15:57:44,357 ; alt_l
2019-02-03 15:57:44,415 ; tab
2019-02-03 15:57:54,378 ; alt_l
2019-02-03 15:57:54,445 ; tab
2019-02-03 15:57:55,481 ; alt_l
2019-02-03 15:57:55,534 ; tab
2019-02-03 15:58:04,769 ; alt_l
2019-02-03 15:58:04,810 ; tab
2019-02-03 15:58:06,029 ; alt_l
2019-02-03 15:58:06,065 ; tab
2019-02-03 15:58:24,996 ; alt_l
2019-02-03 15:58:25,054 ; tab
2019-02-03 15:58:26,164 ; alt_l
2019-02-03 15:58:26,205 ; tab
2019-02-03 15:58:29,725 ; alt_l
2019-02-03 15:58:29,787 ; tab
2019-02-03 15:58:31,042 ; alt_l
2019-02-03 15:58:31,086 ; tab
2019-02-03 15:58:35,191 ; alt_l
2019-02-03 15:58:35,245 ; tab
2019-02-03 15:58:36,003 ; alt_l
2019-02-03 15:58:36,044 ; tab
2019-02-03 15:58:38,626 ; alt_l
2019-02-03 15:58:38,671 ; tab
2019-02-03 15:58:42,629 ; alt_l
2019-02-03 15:58:42,703 ; tab
2019-02-03 15:58:59,296 ; alt_l
2019-02-03 15:58:59,356 ; tab
2019-02-03 15:59:00,757 ; alt_l
2019-02-03 15:59:00,784 ; tab
2019-02-03 15:59:04,306 ; alt_l
2019-02-03 15:59:04,378 ; tab
2019-02-03 15:59:09,207 ; alt_l
2019-02-03 15:59:09,252 ; tab
2019-02-03 15:59:28,051 ; alt_l
2019-02-03 15:59:28,097 ; tab
2019-02-03 15:59:28,906 ; alt_l
2019-02-03 15:59:28,987 ; tab
2019-02-03 15:59:37,340 ; alt_l
2019-02-03 15:59:37,375 ; tab
2019-02-03 15:59:41,484 ; alt_l
2019-02-03 15:59:41,565 ; tab
2019-02-03 15:59:51,607 ; alt_l
2019-02-03 15:59:51,648 ; tab
2019-02-03 15:59:52,534 ; alt_l
