date ; stroke
2019-02-01 11:47:53,446 ; -
2019-02-01 11:47:54,062 ; ^
2019-02-01 11:47:54,181 ; e
2019-02-01 11:47:54,438 ; t
2019-02-01 11:47:54,573 ; r
2019-02-01 11:47:54,645 ; e
2019-02-01 11:47:59,607 ; shift_r
2019-02-01 11:47:59,703 ; ;
2019-02-01 11:48:00,239 ; space
2019-02-01 11:48:00,400 ; shift_r
2019-02-01 11:48:00,543 ; j
2019-02-01 11:48:00,759 ; '
2019-02-01 11:48:01,786 ; e
2019-02-01 11:48:01,991 ; s
2019-02-01 11:48:02,232 ; p
2019-02-01 11:48:02,535 ; è
2019-02-01 11:48:02,647 ; r
2019-02-01 11:48:02,752 ; e
2019-02-01 11:48:02,767 ; space
2019-02-01 11:48:03,896 ; j
2019-02-01 11:48:04,056 ; u
2019-02-01 11:48:04,167 ; s
2019-02-01 11:48:04,519 ; t
2019-02-01 11:48:04,679 ; e
2019-02-01 11:48:04,775 ; space
2019-02-01 11:48:05,072 ; q
2019-02-01 11:48:05,248 ; u
2019-02-01 11:48:05,400 ; '
2019-02-01 11:48:05,488 ; u
2019-02-01 11:48:05,672 ; n
2019-02-01 11:48:05,831 ; space
2019-02-01 11:48:06,280 ; backspace
2019-02-01 11:48:06,383 ; e
2019-02-01 11:48:06,471 ; space
2019-02-01 11:48:08,032 ; é
2019-02-01 11:48:08,367 ; v
2019-02-01 11:48:08,463 ; e
2019-02-01 11:48:08,712 ; n
2019-02-01 11:48:08,808 ; t
2019-02-01 11:48:08,967 ; u
2019-02-01 11:48:09,047 ; e
2019-02-01 11:48:09,192 ; l
2019-02-01 11:48:09,319 ; l
2019-02-01 11:48:09,399 ; e
2019-02-01 11:48:09,463 ; space
2019-02-01 11:48:12,008 ; c
2019-02-01 11:48:12,120 ; a
2019-02-01 11:48:12,279 ; n
2019-02-01 11:48:12,391 ; d
2019-02-01 11:48:12,504 ; i
2019-02-01 11:48:12,695 ; d
2019-02-01 11:48:12,855 ; a
2019-02-01 11:48:13,807 ; t
2019-02-01 11:48:14,000 ; u
2019-02-01 11:48:14,079 ; r
2019-02-01 11:48:14,183 ; e
2019-02-01 11:48:14,287 ; space
2019-02-01 11:48:14,895 ; n
2019-02-01 11:48:15,015 ; e
2019-02-01 11:48:15,095 ; space
2019-02-01 11:48:15,655 ; e
2019-02-01 11:48:15,727 ; space
2019-02-01 11:48:16,295 ; backspace
2019-02-01 11:48:16,439 ; backspace
2019-02-01 11:48:16,712 ; m
2019-02-01 11:48:16,855 ; e
2019-02-01 11:48:16,935 ; space
2019-02-01 11:48:17,599 ; m
2019-02-01 11:48:17,783 ; e
2019-02-01 11:48:18,031 ; t
2019-02-01 11:48:18,208 ; t
2019-02-01 11:48:18,288 ; r
2019-02-01 11:48:18,607 ; a
2019-02-01 11:48:18,671 ; space
2019-02-01 11:48:19,680 ; p
2019-02-01 11:48:19,768 ; a
2019-02-01 11:48:19,847 ; s
2019-02-01 11:48:19,943 ; space
2019-02-01 11:48:20,200 ; e
2019-02-01 11:48:20,359 ; n
2019-02-01 11:48:20,520 ; space
2019-02-01 11:48:23,463 ; p
2019-02-01 11:48:23,895 ; o
2019-02-01 11:48:24,039 ; r
2019-02-01 11:48:24,335 ; t
2019-02-01 11:48:24,471 ; e
2019-02-01 11:48:24,631 ; space
2019-02-01 11:48:32,463 ; p
2019-02-01 11:48:32,647 ; o
2019-02-01 11:48:32,839 ; r
2019-02-01 11:48:33,087 ; t
2019-02-01 11:48:33,191 ; e
2019-02-01 11:48:33,623 ; -
2019-02-01 11:48:36,167 ; à
2019-02-01 11:48:36,351 ; -
2019-02-01 11:48:36,887 ; f
2019-02-01 11:48:36,975 ; a
2019-02-01 11:48:37,127 ; u
2019-02-01 11:48:37,263 ; x
2019-02-01 11:48:37,375 ; space
2019-02-01 11:48:38,695 ; p
2019-02-01 11:48:38,823 ; a
2019-02-01 11:48:38,951 ; r
2019-02-01 11:48:39,063 ; space
2019-02-01 11:48:41,992 ; r
2019-02-01 11:48:42,103 ; a
2019-02-01 11:48:42,215 ; p
2019-02-01 11:48:42,344 ; p
2019-02-01 11:48:42,511 ; o
2019-02-01 11:48:42,591 ; r
2019-02-01 11:48:42,799 ; t
2019-02-01 11:48:42,855 ; space
2019-02-01 11:48:44,384 ; a
2019-02-01 11:48:44,655 ; u
2019-02-01 11:48:44,759 ; x
2019-02-01 11:48:44,855 ; space
2019-02-01 11:48:45,311 ; s
2019-02-01 11:48:45,648 ; t
2019-02-01 11:48:45,775 ; a
2019-02-01 11:48:46,015 ; g
2019-02-01 11:48:46,111 ; e
2019-02-01 11:48:46,255 ; space
2019-02-01 11:48:46,823 ; r
2019-02-01 11:48:46,911 ; e
2019-02-01 11:48:47,039 ; l
2019-02-01 11:48:47,207 ; i
2019-02-01 11:48:47,335 ; é
2019-02-01 11:48:47,455 ; space
2019-02-01 11:48:47,855 ; a
2019-02-01 11:48:48,031 ; u
2019-02-01 11:48:48,199 ; x
2019-02-01 11:48:48,287 ; space
2019-02-01 11:48:48,519 ; t
2019-02-01 11:48:48,607 ; e
2019-02-01 11:48:48,719 ; n
2019-02-01 11:48:48,815 ; s
2019-02-01 11:48:49,015 ; e
2019-02-01 11:48:49,135 ; u
2019-02-01 11:48:49,263 ; d
2019-02-01 11:48:49,671 ; backspace
2019-02-01 11:48:49,783 ; r
2019-02-01 11:48:49,871 ; s
2019-02-01 11:48:50,663 ; shift_r
2019-02-01 11:48:50,775 ; ;
2019-02-01 11:48:55,095 ; enter
2019-02-01 11:48:55,247 ; enter
2019-02-01 11:48:55,455 ; shift_r
2019-02-01 11:48:55,535 ; b
2019-02-01 11:48:55,727 ; i
2019-02-01 11:48:55,783 ; e
2019-02-01 11:48:55,903 ; n
2019-02-01 11:48:56,047 ; space
2019-02-01 11:48:56,159 ; c
2019-02-01 11:48:56,303 ; o
2019-02-01 11:48:56,423 ; r
2019-02-01 11:48:56,551 ; i
2019-02-01 11:48:56,607 ; d
2019-02-01 11:48:56,839 ; a
2019-02-01 11:48:57,175 ; backspace
2019-02-01 11:48:57,335 ; backspace
2019-02-01 11:48:57,703 ; backspace
2019-02-01 11:48:57,967 ; d
2019-02-01 11:48:58,159 ; i
2019-02-01 11:48:58,263 ; a
2019-02-01 11:48:58,359 ; l
2019-02-01 11:48:58,479 ; e
2019-02-01 11:48:58,527 ; m
2019-02-01 11:48:58,647 ; e
2019-02-01 11:48:58,759 ; n
2019-02-01 11:48:58,895 ; t
2019-02-01 11:48:58,983 ; ,
2019-02-01 11:48:59,191 ; enter
2019-02-01 11:48:59,335 ; enter
2019-02-01 11:49:00,575 ; shift_r
2019-02-01 11:49:00,639 ; b
2019-02-01 11:49:00,951 ; é
2019-02-01 11:49:01,127 ; t
2019-02-01 11:49:01,279 ; h
2019-02-01 11:49:01,367 ; e
2019-02-01 11:49:01,447 ; n
2019-02-01 11:49:01,527 ; c
2019-02-01 11:49:01,639 ; o
2019-02-01 11:49:01,743 ; u
2019-02-01 11:49:01,767 ; r
2019-02-01 11:49:01,967 ; t
2019-02-01 11:49:02,063 ; space
2019-02-01 11:49:02,215 ; shift_r
2019-02-01 11:49:02,303 ; l
2019-02-01 11:49:02,455 ; o
2019-02-01 11:49:02,583 ; shift_r
2019-02-01 11:49:02,663 ; ^
2019-02-01 11:49:02,863 ; i
2019-02-01 11:49:02,967 ; c
2019-02-01 11:49:08,927 ; backspace
2019-02-01 11:49:24,241 ; backspace
2019-02-01 11:49:56,482 ; backspace
2019-02-01 11:49:57,034 ; backspace
2019-02-01 11:49:57,274 ; e
2019-02-01 11:49:57,426 ; n
2019-02-01 11:49:57,594 ; v
2019-02-01 11:49:57,850 ; e
2019-02-01 11:49:58,074 ; r
2019-02-01 11:49:58,290 ; r
2019-02-01 11:49:58,338 ; a
2019-02-01 11:49:59,234 ; i
2019-02-01 11:50:00,946 ; space
2019-02-01 11:50:01,074 ; u
2019-02-01 11:50:01,234 ; n
2019-02-01 11:50:01,322 ; e
2019-02-01 11:50:01,482 ; space
2019-02-01 11:50:01,850 ; c
2019-02-01 11:50:01,962 ; a
2019-02-01 11:50:02,090 ; n
2019-02-01 11:50:02,210 ; d
2019-02-01 11:50:02,322 ; i
2019-02-01 11:50:02,426 ; d
2019-02-01 11:50:02,514 ; a
2019-02-01 11:50:04,146 ; t
2019-02-01 11:50:04,266 ; u
2019-02-01 11:50:04,466 ; r
2019-02-01 11:50:04,554 ; e
2019-02-01 11:50:04,658 ; space
2019-02-01 11:50:05,130 ; e
2019-02-01 11:50:05,234 ; n
2019-02-01 11:50:05,378 ; space
2019-02-01 11:50:05,498 ; d
