date ; stroke
2019-01-29 13:46:38,846 ; o
2019-01-29 13:46:39,178 ; t
2019-01-29 13:46:39,334 ; t
2019-01-29 13:46:39,429 ; o
2019-01-29 13:46:39,616 ; m
2019-01-29 13:46:45,302 ; enter
2019-01-29 13:46:45,461 ; enter
2019-01-29 13:46:46,745 ; shift
2019-01-29 13:46:47,509 ; /
2019-01-29 13:46:47,665 ; /
2019-01-29 13:46:48,672 ; shift
2019-01-29 13:46:48,960 ; c
2019-01-29 13:46:49,196 ; r
2019-01-29 13:46:49,288 ; e
2019-01-29 13:46:49,585 ; t
2019-01-29 13:46:49,999 ; backspace
2019-01-29 13:46:50,150 ; a
2019-01-29 13:46:50,270 ; t
2019-01-29 13:46:50,382 ; e
2019-01-29 13:46:50,603 ; space
2019-01-29 13:46:50,759 ; t
2019-01-29 13:46:50,933 ; h
2019-01-29 13:46:51,041 ; e
2019-01-29 13:46:51,193 ; space
2019-01-29 13:46:51,316 ; shift
2019-01-29 13:46:51,904 ; s
2019-01-29 13:46:53,592 ; v
2019-01-29 13:46:53,932 ; g
2019-01-29 13:46:55,912 ; enter
2019-01-29 13:46:57,169 ; v
2019-01-29 13:46:57,383 ; a
2019-01-29 13:46:57,527 ; r
2019-01-29 13:46:58,079 ; space
2019-01-29 13:46:58,293 ; s
2019-01-29 13:46:59,185 ; v
2019-01-29 13:46:59,364 ; g
2019-01-29 13:46:59,732 ; space
2019-01-29 13:46:59,841 ; =
2019-01-29 13:46:59,917 ; space
2019-01-29 13:47:02,276 ; d
2019-01-29 13:47:02,499 ; shift
2019-01-29 13:47:02,775 ; 3
2019-01-29 13:47:02,980 ; shift
2019-01-29 13:47:03,100 ; .
2019-01-29 13:47:03,317 ; s
2019-01-29 13:47:03,481 ; e
2019-01-29 13:47:03,657 ; l
2019-01-29 13:47:03,753 ; e
2019-01-29 13:47:03,911 ; c
2019-01-29 13:47:04,142 ; t
2019-01-29 13:47:04,534 ; (
2019-01-29 13:47:05,728 ; "
2019-01-29 13:47:06,495 ; b
2019-01-29 13:47:06,628 ; o
2019-01-29 13:47:06,827 ; d
2019-01-29 13:47:06,988 ; y
2019-01-29 13:47:07,945 ; right
2019-01-29 13:47:08,672 ; right
2019-01-29 13:47:08,851 ; shift
2019-01-29 13:47:09,103 ; .
2019-01-29 13:47:09,303 ; a
2019-01-29 13:47:09,435 ; p
2019-01-29 13:47:09,550 ; p
2019-01-29 13:47:09,672 ; e
2019-01-29 13:47:09,808 ; n
2019-01-29 13:47:09,919 ; d
2019-01-29 13:47:10,236 ; (
2019-01-29 13:47:13,709 ; "
2019-01-29 13:47:14,123 ; s
2019-01-29 13:47:14,347 ; v
2019-01-29 13:47:14,564 ; g
2019-01-29 13:47:18,553 ; right
2019-01-29 13:47:19,042 ; right
2019-01-29 13:47:19,409 ; enter
2019-01-29 13:47:19,957 ; shift
2019-01-29 13:47:20,318 ; .
2019-01-29 13:47:20,546 ; a
2019-01-29 13:47:20,768 ; t
2019-01-29 13:47:20,878 ; t
2019-01-29 13:47:21,013 ; r
2019-01-29 13:47:21,515 ; (
2019-01-29 13:47:36,985 ; "
2019-01-29 13:47:37,343 ; w
2019-01-29 13:47:37,716 ; i
2019-01-29 13:47:38,039 ; d
2019-01-29 13:47:38,235 ; t
2019-01-29 13:47:38,344 ; h
2019-01-29 13:47:38,776 ; right
2019-01-29 13:47:40,597 ; ,
2019-01-29 13:47:40,829 ; space
2019-01-29 13:47:41,047 ; w
2019-01-29 13:47:41,208 ; i
2019-01-29 13:47:41,453 ; f
2019-01-29 13:47:41,771 ; backspace
2019-01-29 13:47:41,871 ; d
2019-01-29 13:47:42,063 ; h
2019-01-29 13:47:42,211 ; t
2019-01-29 13:47:42,694 ; space
2019-01-29 13:47:43,011 ; shift
2019-01-29 13:47:43,135 ; +
2019-01-29 13:47:43,396 ; space
2019-01-29 13:47:43,583 ; m
2019-01-29 13:47:43,631 ; a
2019-01-29 13:47:43,810 ; r
2019-01-29 13:47:43,969 ; g
2019-01-29 13:47:44,041 ; i
2019-01-29 13:47:44,192 ; n
2019-01-29 13:47:44,326 ; shift
2019-01-29 13:47:44,594 ; .
2019-01-29 13:47:44,791 ; l
2019-01-29 13:47:44,883 ; e
2019-01-29 13:47:45,065 ; f
2019-01-29 13:47:45,279 ; t
2019-01-29 13:47:45,552 ; shift
2019-01-29 13:47:46,644 ; shift
2019-01-29 13:47:47,180 ; space
2019-01-29 13:47:47,390 ; shift
2019-01-29 13:47:47,538 ; +
2019-01-29 13:47:47,690 ; space
2019-01-29 13:47:48,296 ; m
2019-01-29 13:47:48,377 ; a
2019-01-29 13:47:48,575 ; r
2019-01-29 13:47:48,759 ; g
2019-01-29 13:47:48,884 ; i
2019-01-29 13:47:49,044 ; n
2019-01-29 13:47:49,192 ; shift
2019-01-29 13:47:49,544 ; .
2019-01-29 13:47:49,897 ; r
2019-01-29 13:47:50,064 ; i
2019-01-29 13:47:50,188 ; g
2019-01-29 13:47:50,341 ; h
2019-01-29 13:47:50,449 ; t
2019-01-29 13:48:44,118 ; cmd
2019-01-29 13:48:44,253 ; ctrl+c
2019-01-29 13:48:46,105 ; right
2019-01-29 13:48:46,365 ; enter
2019-01-29 13:48:46,837 ; backspace
2019-01-29 13:48:47,071 ; cmd
2019-01-29 13:48:47,163 ; crtl+v
2019-01-29 13:48:49,961 ; right
2019-01-29 13:48:50,283 ; left
2019-01-29 13:48:50,500 ; backspace
2019-01-29 13:49:00,386 ;  ;
2019-01-29 13:49:02,998 ;  ;
2019-01-29 13:49:03,875 ; up
2019-01-29 13:49:10,555 ; backspace
2019-01-29 13:49:11,904 ; ,
2019-01-29 13:49:13,479 ; ,
2019-01-29 13:49:32,081 ; cmd
2019-01-29 13:49:32,204 ; ctrl
2019-01-29 13:49:33,590 ; alt
2019-01-29 13:49:33,591 ; cmd
2019-01-29 13:49:47,839 ; right
2019-01-29 13:49:48,101 ; right
2019-01-29 13:49:48,500 ; backspace
2019-01-29 13:49:48,640 ; backspace
2019-01-29 13:49:48,751 ; t
2019-01-29 13:49:48,888 ; h
2019-01-29 13:49:53,624 ; backspace
2019-01-29 13:49:55,256 ; backspace
2019-01-29 13:49:58,578 ; cmd
2019-01-29 13:49:58,653 ; alt
2019-01-29 13:52:12,024 ; backspace
